"audio","length","trial_start","trial_end","understand","angry","intend","hostile","blame","subID"
"audio/17.wav",38,1434.9464705,1472.95442354202,9,7.2,5.4,5.4,6.3,"03"
"audio/18.wav",39,1521.065937334,1560.07451904201,9,9,9,8.1,9,"03"
"audio/19.wav",44,1616.426461542,1660.434741584,9,3.6,1.8,1.8,2.7,"03"
"audio/20.wav",46,1699.36235525002,1745.37450999999,9,4.5,2.7,2.7,5.4,"03"
"audio/21.wav",42,1799.186387667,1841.19450391701,9,7.2,2.7,2.7,4.5,"03"
"audio/1.wav",42,19.3323467079899,61.413886416005,7,7.2,2.7,3.6,7.2,"04"
"audio/2.wav",38,111.524898625008,149.539527540997,9,4.5,5.4,4.5,4.5,"04"
"audio/3.wav",40,197.021238290996,237.032802665984,9,4.5,2.7,2.7,2.7,"04"
"audio/4.wav",33,284.709803707985,317.717200707993,8,2.7,3.6,2.7,2.7,"04"
"audio/5.wav",43,364.373791624996,407.386877332989,9,2.7,1.8,1.8,1.8,"04"
"audio/6.wav",34,463.254056375008,497.261536582984,9,1.8,2.7,1.8,1.8,"04"
"audio/7.wav",45,540.37395137499,585.386087082996,9,1.8,0.9,0.9,0.9,"04"
"audio/8.wav",40,626.277620040986,666.286700083001,9,0.9,2.7,2.7,0.9,"04"
"audio/9.wav",38,702.358273916005,740.367335916002,9,3.6,4.5,5.4,3.6,"04"
"audio/10.wav",38,779.526804333,817.534489124984,7,4.5,3.6,3.6,5.4,"04"
"audio/11.wav",27,863.942479499994,890.950268040993,9,4.5,6.3,5.4,5.4,"04"
"audio/12.wav",39,930.374751833006,969.383087916009,9,2.7,1.8,0.9,1.8,"04"
"audio/13.wav",40,1007.381416458,1047.38955133301,9,2.7,0.9,0.9,1.8,"04"
"audio/14.wav",43,1091.59099287499,1134.600374125,9,1.8,0.9,0.9,1.8,"04"
"audio/15.wav",19,1167.95027620799,1186.958816083,9,2.7,0.9,0.9,1.8,"04"
"audio/16.wav",42,1217.798186375,1259.80712483299,9,3.6,2.7,2.7,3.6,"04"
"audio/17.wav",38,1304.62055699999,1342.62833120799,9,4.5,3.6,3.6,2.7,"04"
"audio/18.wav",39,1391.75058212501,1430.75840662498,9,3.6,1.8,1.8,1.8,"04"
"audio/19.wav",44,1486.15049912501,1530.158248833,7,2.7,0.9,0.9,1.8,"04"
"audio/20.wav",46,1567.934242666,1613.94772870801,9,5.4,1.8,1.8,3.6,"04"
"audio/21.wav",42,1654.75085483299,1696.75888391599,9,3.6,0.9,1.8,1.8,"04"
"audio/1.wav",42,21.3817600829934,63.847895791987,8,7.2,4.5,5.4,6.3,"05"
"audio/2.wav",38,118.469361625001,156.483214499982,9,9,8.1,8.1,8.1,"05"
"audio/3.wav",40,202.134296667005,242.146685874992,9,6.3,3.6,2.7,3.6,"05"
"audio/4.wav",33,287.343994374998,320.351993457996,9,5.4,9,9,4.5,"05"
"audio/5.wav",43,361.263081249985,404.276505707996,9,6.3,5.4,4.5,7.2,"05"
"audio/6.wav",34,447.23832241699,481.246009708004,9,5.4,7.2,7.2,5.4,"05"
"audio/7.wav",45,534.207378124993,579.220225917001,9,5.4,5.4,5.4,5.4,"05"
"audio/8.wav",40,621.031896667002,661.040077124984,9,5.4,9,9,3.6,"05"
"audio/9.wav",38,709.127964082989,747.136351458001,9,4.5,2.7,1.8,1.8,"05"
"audio/10.wav",38,784.374056208006,822.382629083004,9,4.5,1.8,1.8,2.7,"05"
"audio/11.wav",27,862.943853667006,889.951340708009,9,7.2,8.1,8.1,8.1,"05"
"audio/12.wav",39,930.840143666981,969.84834341699,9,6.3,8.1,7.2,7.2,"05"
"audio/13.wav",40,1005.78420366699,1045.79246324999,9,4.5,2.7,2.7,1.8,"05"
"audio/14.wav",43,1077.200647708,1120.20888670799,9,8.1,9,9,8.1,"05"
"audio/15.wav",19,1153.64081741701,1172.64977454199,9,7.2,9,9,7.2,"05"
"audio/16.wav",42,1205.112123375,1247.122063708,9,9,9,9,9,"05"
"audio/17.wav",38,1276.87168166699,1314.880846958,9,9,9,9,9,"05"
"audio/18.wav",39,1346.68648370801,1385.694035583,9,5.4,9,9,4.5,"05"
"audio/19.wav",44,1422.689155375,1466.69672883299,9,4.5,2.7,2.7,2.7,"05"
"audio/20.wav",46,1511.50471095799,1557.51743254199,9,8.1,3.6,7.2,9,"05"
"audio/21.wav",42,1607.00853295799,1649.01669258298,9,5.4,1.8,1.8,3.6,"05"
"audio/1.wav",42,7.07596466701943,49.5777654170233,7,6.3,0.9,1.8,1.8,"06"
"audio/2.wav",38,93.0206506250252,131.034457209025,9,3.6,3.6,2.7,3.6,"06"
"audio/3.wav",40,166.654091334,206.666026000021,9,3.6,1.8,1.8,3.6,"06"
